Date,Bank Rate,5-Year 75% LTV mortgage ,10-Year 75% LTV mortgage ,2-Year 75% LTV BTL,5-Year 75% LTV BTL
30/11/2022,2.9318,5.49,5.33,5.96,5.79
31/10/2022,2.25,5.61,5.2,5.86,5.64
30/09/2022,1.9167,3.97,4.17,4.12,4.02
31/08/2022,1.6818,3.61,3.75,3.52,3.6
31/07/2022,1.25,3.43,3.57,3.37,3.44
30/06/2022,1.1375,2.9,3.17,2.85,2.98
31/05/2022,0.9762,2.62,2.78,2.64,2.77
30/04/2022,0.75,2.35,2.64,2.43,2.53
31/03/2022,0.6196,2.11,2.5,2.12,2.26
28/02/2022,0.475,1.79,2.24,1.78,2.02
31/01/2022,0.25,1.63,2.34,1.7,1.93
31/12/2021,0.1714,1.59,2.44,1.7,1.97
30/11/2021,0.1,1.52,2.5,1.67,1.98
31/10/2021,0.1,1.3,2.53,1.65,1.94
30/09/2021,0.1,1.28,2.59,1.75,2.06
31/08/2021,0.1,1.39,2.59,1.79,2.14
31/07/2021,0.1,1.45,2.58,1.86,2.22
30/06/2021,0.1,1.6,2.59,1.96,2.37
31/05/2021,0.1,1.68,2.59,2,2.41
30/04/2021,0.1,1.71,2.59,2.01,2.41
31/03/2021,0.1,1.74,2.55,2.03,2.42
28/02/2021,0.1,1.8,2.55,2.03,2.33
31/01/2021,0.1,1.92,2.54,2.03,2.26
31/12/2020,0.1,2,2.53,2.05,2.24
30/11/2020,0.1,2.05,2.52,1.94,2.2
31/10/2020,0.1,2.05,2.46,1.89,2.18
30/09/2020,0.1,1.92,2.39,1.88,2.21
31/08/2020,0.1,1.79,2.32,1.88,2.2
31/07/2020,0.1,1.7,2.32,1.85,2.16
30/06/2020,0.1,1.69,2.4,1.85,2.19
31/05/2020,0.1,1.7,2.4,1.83,2.21
30/04/2020,0.1,1.67,2.42,1.78,2.17
31/03/2020,0.3477,1.66,2.36,1.83,2.23
29/02/2020,0.75,1.67,2.38,1.83,2.23
31/01/2020,0.75,1.68,2.42,1.88,2.24
31/12/2019,0.75,1.67,2.47,1.93,2.26
30/11/2019,0.75,1.67,2.49,1.94,2.31
31/10/2019,0.75,1.71,2.51,1.96,2.36
30/09/2019,0.75,1.79,2.58,2.04,2.46
31/08/2019,0.75,1.89,2.58,2.13,2.47
31/07/2019,0.75,1.93,2.57,2.19,2.51
30/06/2019,0.75,1.97,2.59,2.29,2.58
31/05/2019,0.75,1.99,2.57,2.28,2.6
30/04/2019,0.75,2,2.55,2.29,2.64
31/03/2019,0.75,2.03,2.56,2.25,2.68
28/02/2019,0.75,2.05,2.55,2.22,2.69
31/01/2019,0.75,2.05,2.66,2.37,.
31/12/2018,0.75,2.01,2.64,2.38,.
30/11/2018,0.75,2.02,2.67,2.36,.
31/10/2018,0.75,2.06,2.72,2.35,.
30/09/2018,0.75,2.01,2.68,2.33,.
31/08/2018,0.7386,2.03,2.7,2.24,.
31/07/2018,0.5,2.04,2.76,2.27,.
30/06/2018,0.5,2.03,2.74,2.28,.
31/05/2018,0.5,2.06,2.76,2.26,.
30/04/2018,0.5,2.01,2.78,2.28,.
31/03/2018,0.5,2.02,2.76,2.33,.
28/02/2018,0.5,1.99,2.71,2.32,.
31/01/2018,0.5,1.98,2.66,2.3,.
31/12/2017,0.5,2.07,2.66,2.49,.
30/11/2017,0.4886,2.04,2.67,2.52,.
31/10/2017,0.25,2.04,2.67,2.52,.
30/09/2017,0.25,1.9,2.72,2.52,.
31/08/2017,0.25,1.96,2.77,2.55,.
31/07/2017,0.25,1.97,2.77,2.63,.
30/06/2017,0.25,1.99,2.82,2.61,.
31/05/2017,0.25,2.03,2.83,2.62,.
30/04/2017,0.25,2.09,2.78,2.54,.
31/03/2017,0.25,2.15,2.8,2.62,.
28/02/2017,0.25,2.2,2.91,2.74,.
31/01/2017,0.25,2.22,2.93,2.82,.
31/12/2016,0.25,2.26,2.98,2.86,.
30/11/2016,0.25,2.25,2.78,2.93,.
31/10/2016,0.25,2.27,2.75,2.98,.
30/09/2016,0.25,2.34,2.84,2.97,.
31/08/2016,0.2841,2.39,3.04,3.15,.
31/07/2016,0.5,2.51,3.05,3.13,.
30/06/2016,0.5,2.54,3.1,3.15,.
31/05/2016,0.5,2.64,3.15,3.21,.
30/04/2016,0.5,2.71,3.12,3.21,.
31/03/2016,0.5,2.7,3.19,3.19,.
29/02/2016,0.5,2.73,3.2,3.19,.
31/01/2016,0.5,2.68,3.27,3.24,.
31/12/2015,0.5,2.75,3.36,3.36,.
30/11/2015,0.5,2.77,3.37,3.36,.
31/10/2015,0.5,2.78,3.29,3.47,.
30/09/2015,0.5,2.84,3.35,3.53,.
31/08/2015,0.5,2.92,3.33,3.54,.
31/07/2015,0.5,2.83,3.34,3.54,.
30/06/2015,0.5,2.82,3.24,3.64,.
31/05/2015,0.5,2.86,3.28,3.61,.
30/04/2015,0.5,2.92,3.49,3.66,.
31/03/2015,0.5,2.98,3.47,3.74,.
28/02/2015,0.5,3.05,3.67,3.66,.
31/01/2015,0.5,3.09,3.95,3.61,.
31/12/2014,0.5,3.21,4,3.68,.
30/11/2014,0.5,3.21,4.04,3.67,.
31/10/2014,0.5,3.27,4.04,3.65,.
30/09/2014,0.5,3.61,4.06,3.68,.
31/08/2014,0.5,3.76,4.36,3.76,.
31/07/2014,0.5,3.78,.,3.84,.
30/06/2014,0.5,3.69,.,3.89,.
31/05/2014,0.5,3.72,.,3.87,.
30/04/2014,0.5,3.69,.,4.02,.
31/03/2014,0.5,3.48,.,4.12,.
28/02/2014,0.5,3.45,.,4.05,.
31/01/2014,0.5,3.34,.,4.07,.
31/12/2013,0.5,3.34,.,4.05,.
30/11/2013,0.5,3.36,.,4.12,.
31/10/2013,0.5,3.37,.,4.19,.
30/09/2013,0.5,3.4,.,4.21,.
31/08/2013,0.5,3.35,.,4.21,.
31/07/2013,0.5,3.39,.,4.21,.
30/06/2013,0.5,3.41,.,4.25,.
31/05/2013,0.5,3.44,.,4.17,.
30/04/2013,0.5,3.61,.,4.28,.
31/03/2013,0.5,3.63,.,4.69,.
28/02/2013,0.5,3.62,4.49,4.51,.
31/01/2013,0.5,3.71,.,4.59,.
